departamento;distrito;zona  ;direccion;latitud;longitud;codigo_ue;unidad_educativa;cod_edif_educativo
SANTA CRUZ;SANTA CRUZ 1;LOS TOTAIES;KM 4 Y MEDIO CARRETERA AL NORTE (BARRIO LOS TOTAISES);-17,739665;-63,159072;81980371,8198038;ELFFY RIBERA DE BARBERY A,HILARION TOMELICHT ARDAYA I;81980079
SANTA CRUZ;SANTA CRUZ 1;LOS TUSEQUIS UV. 71;AV. ALEMANIA ANTES 2 CUADRA ANTES DEL 6TO ANILLO BARRIO LOS TUSEQUIS;-17,837139;-63,1601;81980378,81980379,81980421;LOS TUSEQUIS MAÑANA,LOS TUSEQUIS TARDE,ALIPIO VALENCIA VEGA;81980080
SANTA CRUZ;SANTA CRUZ 3;VILLA 1RO. DE MAYO;AV. 3 PASOS AL FRENTE BARRIO LUIS SORUCO BARBA     C/8;-17,802809;-63,141072;81980533,819813;SAFAT SORUCO SORUCO,23 DE JULIO;81980081
SANTA CRUZ;SANTA CRUZ 3;MARITIMO Y LUCERITO;MARITIMO Y LUCERITO UV 85B MZ 33;-17,784304;-63,117743;81980512,8198052;NIMIA CENTELLAS DE YASANTI A,NIMIA CENTELLAS DE YASANTI B;81980082
SANTA CRUZ;SANTA CRUZ 1;MELCHOR PINTO;CALLE 3;-17,750064;-63,147765;81980376;23 DE ABRIL;81980083
SANTA CRUZ;SANTA CRUZ 3;VILLA 1RO. DE MAYO;BARRIO NOEL KEMPF MERCADO UV 99;-17,811877;-63,113979;81980552,81980557,81981033;NOEL KEMPF MERCADO A,NOEL KEMPF MERCADO B,NOEL KEMPF MERCADO C;81980084
SANTA CRUZ;SANTA CRUZ 1;NUEVA JERUSALEM;BARRIO NUEVA JERUSALEN C PALESTINA;-17,722312;-63,159564;81980422;13 DE ENERO;81980085
SANTA CRUZ;SANTA CRUZ 3;NUEVA PRIMAVERA;BARRIO NUEVA PRIMAVERA UV. 197 MZ. 3;-17,744691;-63,109771;81980491,8198145;ISMAEL MONTES,ISMAEL MONTES SANTA LUCIA;81980086
SANTA CRUZ;SANTA CRUZ 1;ORIENTAL;FINAL CANAL ISUTO;-17,744094;-63,193714;81980081,8198008;ISUTO MAÑANA,ISUTO TARDE;81980087
SANTA CRUZ;SANTA CRUZ 3;UV 100 MZ 90;AVENIDA LA CAMPANA BARRIO PRIMAVERA PLAN 3000;-17,816714;-63,103422;81980569,8198142;PRIMAVERA,PRIMAVERA II;81980090
SANTA CRUZ;SANTA CRUZ 1;SAN CARLOS;Radial 27, Mz. I, Uv. 62;-17,757197;-63,181858;81980071,8198007;SAN CARLOS I,SAN CARLOS II;81980092
SANTA CRUZ;SANTA CRUZ 3;UV 98 SUD ESTE;VILLA 1RO. DE MAYO BARRIO SAN ISIDRO;-17,808351;-63,13199;81980554,81980988,81980989;SAN ISIDRO A,SAN ISIDRO B,SAN ISIDRO C;81980093
SANTA CRUZ;SANTA CRUZ 1;SAN JORGE;BARRIO SAN JORGE NORTE;-17,747379;-63,158636;81980355;ÑUFLO CHAVEZ ORTIZ;81980094
SANTA CRUZ;SANTA CRUZ 3;PAMPA DE LA ISLA;BARRIO SAN LORENZO CARRETERA A COTOCA;-17,772795;-63,126712;81980440,8198044;PAMPA DE LA ISLA A,PAMPA DE LA ISLA B;81980095
SANTA CRUZ;SANTA CRUZ 1;SAN LUIS;AV. ROCA CORONADO;-17,784647;-63,200997;81980013,8198001;HERMANITAS ARREDONDO,JESUS PEREDO;81980096
SANTA CRUZ;SANTA CRUZ 2;SUD OESTE UV 191;RADIAL 17 1/2 BARRIO SANTA MARIA 8vo. ANILLO;-17,822253;-63,253119;81980836;ANITA SUAREZ DE LEIGUE;81980097
SANTA CRUZ;SANTA CRUZ 1;SANTA ROSITA;CALLE MATARAL;-17,789935;-63,203418;81980008,8198009;RVDO. LUCAS CASAERT BAERDEMACKER I,RVDO. LUCAS CASAERT BAERDEMACKER II;81980098
SANTA CRUZ;SANTA CRUZ 3;SUDESTE UV 89;CALLE NO 10;-17,799116;-63,125038;81980527,8198053;GILBERTO MENACHO,MARIA LUISA CASTRO;81980101
SANTA CRUZ;SANTA CRUZ 2;CASCO VIEJO;INDEPENDENCIA Y LEMOINE No. 589;-17,789751;-63,181454;81980916,8198092;ARZOBISPO DANIEL RIVERO I,ARZOBISPO DANIEL RIVERO II;81980102
SANTA CRUZ;SANTA CRUZ 2;SUR;AV. MOSCU ENTRE 7mo. Y 8vo. ANILLO BARRIO TIERRAS NUEVAS EL CARMEN;-17,845187;-63,214071;81980832,81980833,81980834,81981178;TIERRAS NUEVAS EL CARMEN II,TIERRAS NUEVAS EL CARMEN III,TIERRAS NUEVAS EL CARMEN I,SIXTO NELSON FLEIG;81980103
SANTA CRUZ;SANTA CRUZ 3;BARRIO SUAREZ;PLAN 3000 BARRIO SUAREZ UV 64;-17,844303;-63,117592;81980623;LUZ DEL MUNDO A;81980105
SANTA CRUZ;SANTA CRUZ 1;BARRIO VIRGEN DE COTOCA;BARRIO VIRGEN DE COTOCA UV 64 MZ 60;-17,741618;-63,181424;81980353;SAN JORGE NORTE;81980106
SANTA CRUZ;SANTA CRUZ 3;VIRGEN DE LUJAN;UV 151 VIRGEN DEL LUJAN MZ 62 CALLE No 1;-17,754777;-63,129909;81980451,8198045;ELVIRA PARADA A,ELVIRA PARADA B;81980107
SANTA CRUZ;SANTA CRUZ 3;UV 84;BARRIO 18 DE MARZO VILLA 1RO. DE MAYO;-17,790055;-63,120532;81980506,8198051;18 DE MARZO A,18 DE MARZO B;81980108
SANTA CRUZ;SANTA CRUZ 3;B. CIELITO LINDO;KM 7 A COTOCA;-17,770261;-63,106804;81980468;CIELITO LINDO;81980109
SANTA CRUZ;SANTA CRUZ 3;UV 80 MZ 0;BARRIO CONVIFAGC SUR;-17,796895;-63,146174;81980251,81980252,81980253,81980255,81980259;FELIX BASCOPE GONZALES A,FELIX BASCOPE GONZALES B,FELIX BASCOPE GONZALES C,FELIX BASCOPE GONZALES D,FELIX BASCOPE GONZALES E;81980110
SANTA CRUZ;SANTA CRUZ 3;PALMAR DEL ORATORIO;CMD. GUAPILO JUNIN BARRIO MAX FERNANDEZ UV 227;-17,793922;-63,104396;81980572;GUAPILO JUNIN;81980111
SANTA CRUZ;SANTA CRUZ 3;VILLA 1RO. DE MAYO;BARRIO LOS ANDES AV. 16 DE JULIO;-17,787629;-63,126787;81980502,81980503,81980505;DR. FAUSTO MEDRANO SANDOVAL A,DR. FAUSTO MEDRANO SANDOVAL B,NACIONAL AYACUCHO;81980112
SANTA CRUZ;SANTA CRUZ 3;SAN JUAN;VILLA 1RO. DE MAYO UV 82 MZ 9;-17,789984;-63,137559;81980498;BERTHA CUELLAR VDA. DE MERCADO;81980113
SANTA CRUZ;SANTA CRUZ 1;ROCA Y CORONADO;BARRIO ROCA Y CORONADO;-17,83708;-63,160041;81980695;ROCA Y CORONADO;81980115
SANTA CRUZ;SANTA CRUZ 1;12 DDE OCTUBRE PALMAR;BARRIO 12 DE OCTUBRE EL PALMAR;-17,872254;-63,167633;81980721,8198072;PEREGRINA DAVALOS MAÑANA,PEREGRINA DAVALOS TARDE;81980116
SANTA CRUZ;SANTA CRUZ 1;ORIENTAL;PSU5 MZ 012 E;-17,746403;-63,189132;81980046,81980047,81980052;JOAQUIN CARVAJAL,ORIENTAL,VILLA BOLIVIA;81980117
SANTA CRUZ;SANTA CRUZ 3;15 DE SEPTIEMBRE;BARRIO 15 DE SEPTIEMBRE Y SAN MARTIN;-17,814275;-63,123665;81980576,8198102;15 DE SEPTIEMBRE,RAFAEL BUSTILLOS;81980118
SANTA CRUZ;SANTA CRUZ 3;PLAN 3000;"Avenida Belen U.V 104 Manazano 38 ""A""";-17,814978;-63,141432;81980581,81980583,81980585;25 DE DICIEMBRE A,25 DE DICIEMBRE B,SANTA RAFAELA DE 25 DE DICIEMBRE;81980119
SANTA CRUZ;SANTA CRUZ 2;SUR;CARRETERA A PALMASOLA BARRIO CARLOS LABORDE UV 133 MZ 9A;-17,868157;-63,192285;81980711;VICTORIA DIEZ;81980120
SANTA CRUZ;SANTA CRUZ 1;UV 168 SUR;BARRIO EL FUERTE UNIDAD VECINAL 114 A;-17,845931;-63,148742;81980774,81981188,81981470;EL FUERTE,EL FUERTE I,MODULO EDUCATIVO EL FUERTE;81980121
SANTA CRUZ;SANTA CRUZ 1;SUD OESTE;BARRIO  FATIMA 1 LOS LOTES UV 177;-17,861458;-63,170556;81980749;CANDIDA MARIA DE JESUS;81980122
SANTA CRUZ;SANTA CRUZ 2;BARRIO LA COLORADA;AV. CENTINELAS DEL CHACO;-17,821951;-63,165574;81980675,81980676,81980678;RODOLFO HOEHN I,RODOLFO HOEHN II,RODOLFO HOEHN III;81980123
SANTA CRUZ;SANTA CRUZ 1;LA FORTALEZA;AV. 16 DE JULIO;-17,867448;-63,160346;81980725,81980728,81980730,81980731,81981555;LA FORTALEZA DE CAÑOTO,LUIS ESPINAL CAMPS I,LUIS ESPINAL CAMPS II,LUIS ESPINAL CAMPS III,LUIS ESPINAL CAMPS IV;81980124
SANTA CRUZ;SANTA CRUZ 1;CARMEN ZABALA;NUEVO PALMAR SUR UV 176;-17,853079;-63,17866;81980137,8198072;ANGELINA RIBERA I,ANGELINA RIBERA II;81980125
SANTA CRUZ;SANTA CRUZ 2;SUR;AV. SANTOS DUMONT DOS CUADRAS ANTES DEL 4to. ANILLO CALLE MADRINAS DE GUERRA;-17,81995;-63,180326;81980753,81980757,81980758,81980997;MARIA MAGDALENA POSTEL II,MARIA MAGDALENA POSTEL III,MARIA MAGDALENA POSTEL IV,MARIA MAGDALENA POSTEL V;81980126
SANTA CRUZ;SANTA CRUZ 2;SUR;Nueva Esperaza calle Mateo Fernández Cabello;-17,840452;-63,182553;81980761,81981233,81981551,81981552;CARITAS I,CARITAS II,CARITAS III,CARITAS IV;81980128
SANTA CRUZ;SANTA CRUZ 1;SUR PEDRO DIEZ;BARRIO PEDRO DIEZ UV 181;-17,861792;-63,175576;81980317,8198072;HERNANDO SILES REYES TARDE,HERNANDO SILES REYES MAÑANA;81980130
SANTA CRUZ;SANTA CRUZ 1;BARRIO PERCY FERNANDEZ;MZ 36 UV 167;-17,841015;-63,154797;81980748;DELCY MARTINEZ SALINAS;81980131
SANTA CRUZ;SANTA CRUZ 3;GUAPILO NORTE;KM. 8 Y MEDIO CARRETERA A COTOCA  UV.196 MZ. 100;-17,760974;-63,081645;81980179;GUAPILO NORTE;81980132
SANTA CRUZ;SANTA CRUZ 1;4 DE OCTUBRE;BARRIO 4 DE OCTUBRE;-17,857089;-63,14428;81980759;SAN FRANCISCO DE ASIS SUR;81980133
