DEPARTAMEN;DISTRITO;ZONA;DIRECCION;CODIGO_UE;UNIDAD_EDU
COCHABAMBA;SACABA;MIRAFLORES;CALLE COMERCIO S/N;808,900,068,089,013;MARIA ALBORTA,JESUS LARA
COCHABAMBA;SACABA;KALUYO CHICO;KALUYO CHICO;80890019;KALUYO CHICO
COCHABAMBA;SACABA;CHIMBOCO;CHIMBOCO A 5 KM. AL NORTE DE SACABA;80890021;CHIMBOCO
COCHABAMBA;SACABA;CHURO;CHURO;80890022;CHURO
COCHABAMBA;SACABA;KALUYO GRANDE;KALUYO GRANDE;80890023;KALUYO GRANDE
COCHABAMBA;SACABA;CHIÑATA;CHIÑATA KM. 27 CARRETERA COCHABAMBA SANTA CRUZ;808,900,268,089,011;TORCUATO PEREDO,FRANZ TAMAYO
COCHABAMBA;SACABA;CURUBAMBA;KM,16,CarreteraCBB STA CRUZ AL NORTE 800 m.;80890028;CURUBAMBA
COCHABAMBA;SACABA;KHULUYU;CMD. KHULUYU;80890029;KHULUYU
COCHABAMBA;SACABA;CMD. LARATY;CMD. LARATY;808,900,318,089,012;LARATY,ANAWIN
COCHABAMBA;SACABA;LAVA LAVA ALTA;CMD. LAVA LAVA ALTA;80890032;LAVA LAVA
COCHABAMBA;SACABA;SAPANANI CENTRO;CMD. SAPANANI CENTRO;808,900,358,089,012;2 DE AGOSTO,CARLOS DE FOUCAULD
COCHABAMBA;SACABA;TACOPOCA;FINAL SUCRE SACABA;80890036;6 DE JUNIO
COCHABAMBA;SACABA;CALVARIO;CMD. THAKHO LOMA ALTA KM. 15 CARRETERA COCHABAMBA;80890037;EMILIANO VILLAZON
COCHABAMBA;SACABA;TUTI MAYU;TUTI MAYU KM. 30 CARRETERA COCHABAMBA SANTA CRUZ;80890039;TUTI MAYU
COCHABAMBA;SACABA;VILLA OBRAJES;VILLA OBRAJES KM. 16 CARRETERA COCHABAMBA SANTA CRUZ;80890093;VILLA OBRAJES B
COCHABAMBA;SACABA;MIRAFLORES;AVENIDA VILLAZON Nro 510;808,900,088,089,001;RAMON GERMAN PRADA,REPUBLICA DE ITALIA
COCHABAMBA;SACABA;PILANCHO;PILANCHO AL NOR ESTE DE SACABA KM. 35;80890043;PILANCHO
COCHABAMBA;SACABA;QUINSA MAYU;QUINSA MAYU AL NORTE DE SACABA KM 40;80890044;QUINSA MAYU
COCHABAMBA;SACABA;EL ABRA;CAMINO ANTIGUO A SACABA KM. 6 1/2;80890046;ISRAELI EL ABRA
COCHABAMBA;SACABA;CENTRAL;AVENIDA VILLAZON S/N;808,900,108,089,009;ELIODORO VILLAZON,JOSE NICOLAS MALDONADO
COCHABAMBA;SACABA;THUSKAPUJYU;THUSKAPUJYU ALTO;80890047;27 DE MAYO
COCHABAMBA;SACABA;ICHUCOLLU ALTO;COMUNIDAD ICHOCOLLO - ICHUCOLLU ALTO;80890048;ICHUCOLLU ALTO
COCHABAMBA;SACABA;CMD. KEHUIÑAL;CMD. KEHUIÑAL;80890050;KEWIÑAL
COCHABAMBA;SACABA;QUINTANILLA;KM 5 CARRETERA SACABA AVENIDA VILLAZON;808,900,128,089,001;QUINTANILLA A,MAX FERNANDEZ ROJAS
COCHABAMBA;SACABA;PUNTITI;KM 7 CARRETERA A SACABA 8 CUADRAS AL NORTE;808,900,148,089,002;BOLIVIANO JAPONES,JUAN PABLO II
COCHABAMBA;SACABA;MOLINO BLANCO;MOLINO BLANCO;80890052;MOLINO BLANCO
COCHABAMBA;SACABA;PALCA CHICO;PALCA CHICO;80890054;PALCA CHICO
COCHABAMBA;SACABA;PALCA GRANDE;PALCA GRANDE;80890055;PALCA GRANDE
COCHABAMBA;SACABA;PATATI;PATATI KM. 26 CARRETERA A COCHABAMBA SANTA CRUZ;80890056;PATATI
COCHABAMBA;SACABA;QUINTANILLA;AV. VILLAZON KM. 5 CARRETERA A SACABA;808,900,178,089,008,000,000,000;QUINTANILLA B,SAN ANTONIO DE PADUA,QUINTANILLA C
COCHABAMBA;SACABA;PUNTITI;AVDA E. VILLAZON A SACABA, CINCO KM Y 8OO MTS AL NORTE HACIA EK CERRO.;80890067;PUNTITI CHICO
COCHABAMBA;SACABA;PUCARA;KM. 7 1/2 CARRETERA A SACABA 2 KM. AL NORTE;80890078;JOSE VIA GARCIA
COCHABAMBA;SACABA;SAN JACINTO;SAN JACINTO;80890080;SAN JACINTO
COCHABAMBA;SACABA;HUAYLLANI;AVENIDA MONSEÑOR GREGORIO HEREDIA;80890069;CARLOS PEREDO SANDOVAL
COCHABAMBA;SACABA;CENTRAL;CALLE COLON 132 ENTRE INDEPENDENCIA Y BOLIVAR;808,900,018,089,007,000,000,000;SACABA NOCTURNO,GERMAN BUSCH,JOSE TORRICO SIERRA
COCHABAMBA;SACABA;GUADALUPE;GUADALUPE KM. 8 1/2 CARRETERA A SACABA NORTE;80890071;GUADALUPE
COCHABAMBA;SACABA;;CALLE ARGENTINA Nro 270 URBANIZACION SAN PEDRO;808,900,738,089,008;JESUS TERCEROS SILES,MIRIAM MAGDA TERCEROS
COCHABAMBA;SACABA;VILLA ULINCATE;CALLE TARIJA Nro 024;808,900,028,089,007;ROBERTO NICOLI PARIETTI,BOLIVIA
COCHABAMBA;SACABA;APILLA;APILLA;80890059;APILLA
COCHABAMBA;SACABA;;CHALLUIRI;80890060;CHALLVIRI
COCHABAMBA;SACABA;MOLINOS;MOLINOS;80890061;MOLINOS
COCHABAMBA;SACABA;PISLI;PISLI;80890062;PISLI
COCHABAMBA;SACABA;RODEO;RODEO;80890063;RODEO
COCHABAMBA;SACABA;ULINCATE BAJA;ULINCATE BAJA KM. 35 CARRETERA CBBA SANTA CRUZ;80890066;ULINCATE
COCHABAMBA;SACABA;VILLA OBRAJES;VILLA OBRAJES KM. 16 CARRETERA COCHABAMBA SANTA CR;80890065;VILLA OBRAJES A
COCHABAMBA;SACABA;VILLA ULINCATE;A 100 MTS DE LA CARETERA CBBA STA CRUZ;808,900,188,089,004;BOLIVIANO BRITANICO MAÑANA,BOLIVIANO BRITANICO TARDE
COCHABAMBA;SACABA;;CALLE COPACABANA A UNA CUADRA DE AV. CHAPARE;80890020;COPACABANA
COCHABAMBA;SACABA;CHAQUI KHOCHA;CMD. CHAQUI KHOCHA;80890024;JOSE ANTONIO GUERINI
COCHABAMBA;SACABA;MELGA;MELGA;80890025;RENE FERNANDEZ BECERRA
COCHABAMBA;SACABA;UCUCHI;UCUCHI;80890040;RENE BARRIENTOS
COCHABAMBA;SACABA;SAPANANI ALTO;CMD. SAPANANI ALTO;80890058;MARTIN FLORES ROJAS
COCHABAMBA;SACABA;VILLA ANIMAS;VILLA ANIMAS AVDA VILLAZON KM. 5 Y 3 KM. AL NORTE.;80890064;VILLA ANIMAS
COCHABAMBA;SACABA;ESMERALDA SUD;KM. 8 CARRETERA COCHABAMBA SANTA CRUZ 3 KM. AL SUD;808,900,728,089,014;HERNAN RIVERA FIORILO,NACIONAL CALAMA
COCHABAMBA;SACABA;MAYU MOLINO;CMD. MAYU MOLINO;80890089;MAYU MOLINO
COCHABAMBA;SACABA;CATACHILLA;VILLA CLOTILDE;808,900,908,089,014;VILLA CLOTILDE,ELIZARDO PEREZ
COCHABAMBA;SACABA;THUSKAPUJYU BAJO;CMD. THUSKAPUJYU BAJO;80890095;27 DE AGOSTO
COCHABAMBA;SACABA;PAMPILLA;PAMPILLA;80890091;PAMPILLA
COCHABAMBA;SACABA;LLOYD AEREO BOLIVIANO;CALLE INNOMINADA Nº89;80890099;LLOYD AEREO BOLIVIANO
COCHABAMBA;SACABA;CENTRAL;AV. MONSEÑOR ALCOCER Nro 54;80890100;29 DE JUNIO
COCHABAMBA;SACABA;PUNTITI;AVENIDA VILLAZON KM. 5,5;80890101;KANATA
COCHABAMBA;SACABA;MIRAFLORES;AVENIDA COMERCIO Nro 466;80890102;LITORAL BOLIVIANO
COCHABAMBA;SACABA;CENTRAL;AV. MONSEÑOR ALCOCER Nro 164;80890103;SAN PEDRO DE SACABA
COCHABAMBA;SACABA;QUINTANILLA;AVENIDA MAXIMILIANO KOLBE S/N;80890104;DEL VALLE
COCHABAMBA;SACABA;KEHUIÑAL CHICO;CMD. KEHUIÑAL CHICO;80890106;KEHUIÑAL CHICO
COCHABAMBA;SACABA;;CAMINO ANTIGUO CBBA. - SACABA KM 9.5 AVENIDA CHAPARE;808,901,088,089,014;INCA RANCHO,MARISCAL ANTONIO JOSE DE SUCRE
COCHABAMBA;SACABA;PUNTITI;AVENIDA OCTAVA KM. 5,1/2 CARRETERA A SACABA 4 CUADRAS;80890110;HUGHES SCHOOLS
COCHABAMBA;SACABA;MORRO;KM. 15 CARRETERA COCHABAMBA SANTA CRUZ ENTRANDO A;80890111;EL MORRO
COCHABAMBA;SACABA;CMD. LARATY GRANDE;CMD. LARATY GRANDE;80890112;LARATY GRANDE
COCHABAMBA;SACABA;CANAL PATA;CANAL PATA;80890113;1RO. DE MAYO
COCHABAMBA;SACABA;ALALAY;CMD. ALALAY;80890114;23 DE MARZO
COCHABAMBA;SACABA;QUINTANILLA;KM. 4 CARRETERA SACABA;80890011;SANTA TERESITA DEL NIÑO DE JESUS
COCHABAMBA;SACABA;CHACACOLLO;AVDA VILLAZON KM. 6.5 A 600 MTS AL SUD;80890116;ARCO IRIS
COCHABAMBA;SACABA;PUNTUTI COMUNIDAD TERA PEUTITA;;80890117;SAN BENITO MENNI
COCHABAMBA;SACABA;SACABA;AVENIDA OCTAVA S/N;80890120;CASA DEI BAMBINI
COCHABAMBA;SACABA;COMUNIDAD LAVA LAVA BAJA;COMUNIDAD LAVA LAVA BAJA;80890122;INTI MUJU
COCHABAMBA;SACABA;COMUNIDAD MOLLOCOTA;COMUNIDAD MOLLOCOTA;80890124;25 DE MAYO
COCHABAMBA;SACABA;SACABA;ZONA ESMERALDA (ABRA) PARADA 5 TRUFI 8;80890125;PRESBITERIANA ESPERANZA
COCHABAMBA;SACABA;SIND. LAVA LAVA BAJA;;80890126;NUEVO AMANECER
COCHABAMBA;SACABA;CIUDAD SACABA;;80890127;ENTRE RIOS
COCHABAMBA;SACABA;CIUDAD SACABA;;80890128;REPUBLICA DEL ECUADOR
COCHABAMBA;SACABA;SINDICATO TRANCA CENTRO;;80890129;LA TRANCA
COCHABAMBA;SACABA;PACATA;;80890130;EDUCACION Y LIBERACION 10 DE DICIEMBRE
COCHABAMBA;SACABA;;;80890131;PACATA D-3
COCHABAMBA;SACABA;;;80890134;SAN LUIS
COCHABAMBA;SACABA;ULINCATE BAJA;COMUNIDAD CATACHILLA BAJA CARRETERA A SANTA CRUZ KM. 18;80890137;PITUFI - ALDEA
COCHABAMBA;SACABA;CANAL PATA CENTRAL;CANAL PATA;80890139;GENOVEVA RIOS
COCHABAMBA;SACABA;CENTRAL;FINAL SUCRE;80890140;ANTOFAGASTA
COCHABAMBA;SACABA;CENTRAL MELGA;COMUNIDAD CHIMPA MELGA;80890142;CHIMPA MELGA
COCHABAMBA;MOROCHATA;COLQUECHACA;DE MISICUNI AL OESTE 25 KM.;80900035;COLQUECHACA
COCHABAMBA;CLIZA;CENTRAL;FRANCISCO DEL RIVERO N° 025   Y CALLE SUCRE;809,100,058,091,001;EDUARDO ABAROA,FANOR CABRERA URQUIDI
COCHABAMBA;CLIZA;NORTE;PORVENIR CALLE S/N;80910001;EL PORVENIR
COCHABAMBA;CLIZA;ESTE;HUASA CALLE;80910002;HUASA CALLE
COCHABAMBA;CLIZA;OESTE;SANTA LUCIA;80910012;ANDRES PINTO ASTETE
COCHABAMBA;CLIZA;CENTRAL;AV. CIRCUNVALACION;809,100,148,091,001;MCAL. SUCRE,SIMON BOLIVAR
COCHABAMBA;CLIZA;NORTE;PEREZ RANCHO;80910019;PEREZ RANCHO
COCHABAMBA;CLIZA;ZONA ESTE;TACKO LOMAM CALLE 6 DE AGOSTO S/N;80910003;RENE BARRIENTOS ORTUÑO
COCHABAMBA;CLIZA;ESTE;UCUREÑA;80910018;UCUREÑA
COCHABAMBA;CLIZA;CENTRAL;CALLE ABAROA PASAJE ABAROA S/N;80910009;JULIO HUMEREZ DELGADILLO
COCHABAMBA;CLIZA;CENTRAL;AV. CIRCUNVALACION;809,100,108,091,003;LITORAL,CALAMA
COCHABAMBA;CLIZA;CENTRAL;AVENIDA MONSEÑOR WALTER ROSALES;809,100,078,091,002;JUAN DE DIOS BALDERRAMA B,JUAN DE DIOS BALDERRAMA A
COCHABAMBA;CLIZA;ZONA SUD;CALLE 9 DE DICIEMBRE;80910004;21 DE SEPTIEMBRE A
COCHABAMBA;CLIZA;ESTE;UCUREÑA;80910016;JUAN GUERRA VILLANUEVA
COCHABAMBA;CLIZA;ESTE;UCUREÑA;80910017;LEONIDAS CALVIMONTES CARREÑO
COCHABAMBA;CLIZA;CENTRAL;AV.CIRCUNVALACION;809,100,088,091,001;JUAN MAIDA ROJAS,PACIFICO VELASQUEZ
COCHABAMBA;CLIZA;OESTE;VILLA EL CARMEN;80910023;VILLA EL CARMEN
COCHABAMBA;CLIZA;OESTE;CHULLPAS;80910025;CHULLPAS
COCHABAMBA;CLIZA;OESTE;SAN ISIDRO;80910029;SAN ISIDRO
COCHABAMBA;CLIZA;;CALLE FRANCISCO DEL RIVERO N° 46;80910031;CARREÑO ORTUÑO
COCHABAMBA;CAPINOTA/ SICAYA;APILLAPAMPA;APILLAPAMPA AL SUD DE CAPINOTA 24 KM.;80920001;APILLAPAMPA
COCHABAMBA;CAPINOTA/ SICAYA;BUEN RETIRO;FRENTE AL PARQUE DE BUEN RETIRO;809,200,338,092,005;ALFREDO JACOBS,MARIA ANTONIA BANDRES
COCHABAMBA;CAPINOTA/ SICAYA;CALA CAJA;CALA CAJA AL NORTE DE HORNOMA .;80920002;CALA CAJA
COCHABAMBA;CAPINOTA/ SICAYA;CENTRAL;AV. BUSCH FRENTE PARQUE ABAROA;80920036;JUANA AZURDUY DE PADILLA
COCHABAMBA;CAPINOTA/ SICAYA;CHARAMOCO;CHARAMOCO CARRETERA COCHABAMBA CAPINOTA;80920004;GUSTAVO GARCIA PEREIRA
COCHABAMBA;CAPINOTA/ SICAYA;CHIMBOATA;CHIMBOATA AL SUD DE CAPINOTA 19 KM.;80920005;CHIMBOATA
COCHABAMBA;CAPINOTA/ SICAYA;CHIÑIRI;CHIÑIRI AL SUDOESTE DE CAPINOTA 8 KM. .;80920006;CHIÑIRI
COCHABAMBA;CAPINOTA/ SICAYA;CHOJÑAPAMPA;CHOJÑAPAMPA AL NORESTE DE SICAYA 16 KM.;80920007;CHOJÑAPAMPA
COCHABAMBA;CAPINOTA/ SICAYA;CORATA NORTE;CORATA NORTE AL ESTE DE PLAYA ANCHA 4;80920008;CORATA NORTE
COCHABAMBA;CAPINOTA/ SICAYA;CORATA;CORATA AL SUD DE SICAYA 4 KM.;80920009;CORATA SUD
COCHABAMBA;CAPINOTA/ SICAYA;CORRAL MAYU;CORRAL MAYU AL NORESTE DE MARCAVI 5 KM.;80920011;CORRAL MAYU
COCHABAMBA;CAPINOTA/ SICAYA;HIGUERANI;HIGUERANI AL SUD DE CAPINOTA;80920012;HIGUERANI
COCHABAMBA;CAPINOTA/ SICAYA;HORNOMA;HORNOMA AL SUDESTE DE CAPINOTA KM. 33;80920013;HORNOMA
COCHABAMBA;CAPINOTA/ SICAYA;HUAYCHOMA;HUAYCHOMA AL NORESTE DE HORNOMA 3 KM.;80920014;HUAYCHOMA
COCHABAMBA;CAPINOTA/ SICAYA;CENTRAL;AV. COBOCE A UNA CUADRA PARADA DE MICRO;809,200,398,092,005;CUSTODIO AYAVIRI,JAIME MENDEZ QUIROGA
COCHABAMBA;CAPINOTA/ SICAYA;MACHAJMARCA;MACHAJMARCA AL NORTE DE LA ESCUELA CENTRAL MARCAVI;80920015;MACHAJ MARCA
COCHABAMBA;CAPINOTA/ SICAYA;MOLLINI;MOLLINI AL ESTE DE CAPINOTA 12 KM.;80920016;MARCAVI
COCHABAMBA;CAPINOTA/ SICAYA;ORCOMA;ORCOMA AL SUD DE CAPINOTA 16 KM.;80920017;ORCOMA
COCHABAMBA;CAPINOTA/ SICAYA;PALOMA PAMPA;PALOMA PAMPA AL OESTE DE CAPINOTA 15 KM.;80920019;PALOMA PAMPA
COCHABAMBA;CAPINOTA/ SICAYA;PLAYA ANCHA;PLAYA ANCHA CARRETERA SANTIVAÑEZ CAPINOTA;80920020;PLAYA ANCHA
COCHABAMBA;CAPINOTA/ SICAYA;PUCARA;PUCARA AL NOROESTE DE SICAYA A 15 KM.;80920021;PUCARA
COCHABAMBA;CAPINOTA/ SICAYA;SALTO;SALTO AL SUDESTE DE MARCAVI 12 KM.;80920024;SALTO
COCHABAMBA;CAPINOTA/ SICAYA;SARCOBAMBA;SARCOBAMBA AL SUD DE CAPINOTA 7 KM.;80920026;SARCOBAMBA
COCHABAMBA;CAPINOTA/ SICAYA;CENTRAL;PLAZA SAN AGUSTIN S/N;80920027;SICAYA
COCHABAMBA;CAPINOTA/ SICAYA;TIPANI;TIPANI AL SUDESTE DE MARCAVI;80920028;TIPANI
COCHABAMBA;CAPINOTA/ SICAYA;TOKOALLA;TOKOALLA EL ESTE DE HONOMA 20 KM;80920029;TOKOALLA
COCHABAMBA;CAPINOTA/ SICAYA;UCUCHI;UCUCHI CARRETERA COCHABAMBA CAPINOTA;80920030;UCUCHI
COCHABAMBA;CAPINOTA/ SICAYA;VILLCABAMBA;VILLCABAMBA AL NORTE DE HORNOMA 4 KM.;80920031;VILLCABAMBA
COCHABAMBA;CAPINOTA/ SICAYA;YATAMOCO;YATAMOCO CARRETERA CAPINOTA ARAMPAMPA;80920032;YATAMOCO
COCHABAMBA;CAPINOTA/ SICAYA;SARCO KUCHO;SARCO KUCHO AL ESTE DE CAPINOTA A 5 KM.;80920046;SARCO KUCHO
COCHABAMBA;CAPINOTA/ SICAYA;CENTRAL;AV. BUSCH ENTRE LEZANA Y CHAPARE;80920035;RODOLFO MONTAÑO VALDERRAMA
COCHABAMBA;CAPINOTA/ SICAYA;CENTRAL;AV. BUSCH FRENTE AL PARQUE ABAROA;80920037;VICTOR BARRIENTOS
COCHABAMBA;CAPINOTA/ SICAYA;CORNELIS;CORNELIS AL SUDESTE DE MARCAVI 22 KM.;80920010;CORNELIS
COCHABAMBA;CAPINOTA/ SICAYA;PAJCHA;PAJCHA AL OESTE DE CAPINOTA 14 KM.;80920018;PAJCHA
COCHABAMBA;CAPINOTA/ SICAYA;SAJPAYA;SAJPAYA AL ESTE DE CAPINOTA 8 KM.;80920023;SAJPAYA
COCHABAMBA;CAPINOTA/ SICAYA;BUEN RETIRO;VICTORINA MARTINEZ C. S/N Y CAREAGA LANZA;80920034;OSCAR UNZAGA DE LA VEGA
COCHABAMBA;CAPINOTA/ SICAYA;KUTURUPA;KUTURUPA AL SUD DE CAPINOTA 15 KM.;80920041;KUTURUPA
COCHABAMBA;CAPINOTA/ SICAYA;HUANCARANI;HUANCARANI AL SUD DE CAPINOTA 13 KM.;80920042;HUANCARANI
COCHABAMBA;CAPINOTA/ SICAYA;WACA PLAS;WACA PLAS AL OESTE DE CAPINOTA 21 KM.;80920043;WACA PLAS
COCHABAMBA;ARANI;CENTRAL OESTE;GUALBERTO VILLARROEL ENTRE WALDO BALLIVIAN Y JUAN B. PEREIRA;80940021;ARANI
COCHABAMBA;ARANI;JUZGADO;Avenida final Avaroa camino Jezgado;80940002;JUZGADO
COCHABAMBA;ARANI;MOLLE MOLLE;CAMINO VECINAL MOLLE MOLLE LA VILLA;80940003;MOLLE MOLLE
COCHABAMBA;ARANI;POCOATA ALTA;POCOATA;80940010;POCOATA
COCHABAMBA;ARANI;PUKA WASI;CMD. PUCA WASI;80940005;PUKA WASI
COCHABAMBA;ARANI;VILLA EVITA;CARRETERA ARANI PUNATA;80940006;VILLA EVITA
COCHABAMBA;ARANI;COLLPA CIACO;COLLPA CIACO       CALLE SUCRE S/N;80940024;JAVIER DEL GRANADO
COCHABAMBA;ARANI;AREA RURAL;CUCHILLERA;80940008;CUCHILLERA
COCHABAMBA;ARANI;SAKA SAKA;Camino  a Saka Saka;80940009;SAKA SAKA
COCHABAMBA;ARANI;VILLA BARRIENTOS;CALLE VILLA BARRIENTOS;80940011;VILLA BARRIENTOS
COCHABAMBA;ARANI;LINDE GRANDE;Camino Vecinal Chaupirancho  a Linde Grande;80940012;LINDE GRANDE
COCHABAMBA;ARANI;KOLCA;LITORAL;80940007;KOLCA
COCHABAMBA;ARANI;WASA WAYU;WASAWAYU;80940013;WASA WAYU
COCHABAMBA;ARANI;CENTRO POBLADO URBANO;AV. WUALDO BALLIVIAN S/N;809,400,208,094,003;JULIO RAFAEL TORRICO,NEMESIO ANTONIO MARISCAL
COCHABAMBA;ARANI;CENTRAL;AROMA;80940016;ANTOFAGASTA MAÑANA
COCHABAMBA;ARANI;CENTRAL;WALDO BALLIVIAN;809,400,148,094,002;ANTOFAGASTA TARDE,GUALBERTO VILLARROEL
COCHABAMBA;ARANI;CENTRAL;ANTONIO YAPUR;80940022;SOCRATES GUILLERMO TORRICO
COCHABAMBA;ARANI;EL PROGRESO;CALLE JOSE MANUEL PANDO Y OQUENDO;80940018;GERMAN PRADO
COCHABAMBA;ARANI;COLLPA;Calle 2 de Agosto;80940001;COLLPA BAJA
COCHABAMBA;ARANI;POCOATA BAJA;COMUNIDAD DE POCOATA BAJA;80940004;POCOATA BAJA
COCHABAMBA;ARANI;PUKA ORQO;AV. BARRIENTOS;80940029;EDUARDO ABAROA DE PUKA ORQO
COCHABAMBA;ARANI;SERRANO;CARRETERA COCHABAMBA SUCRE  KM. 72 HACIA EL ESTE;80940031;SERRANO
COCHABAMBA;ARANI;WAYCHAPATA;Camino Serrano - Waychapata;80940032;WAYCHAPATA
COCHABAMBA;ARANI;ARACHACA;ARACHACA;80940034;ARACHACA
COCHABAMBA;TARATA;SUD DE TARATA;HUERTA MAYU;80950005;HUERTA MAYU
COCHABAMBA;TARATA;AL SUD DE TARATA;A 2 KM. DEL CEMENTERIO DE TARATA;80950019;VILLA SAN JOSE
COCHABAMBA;TARATA;SUD OESTE CACA CALA;Cala Cala;80950001;CALA CALA
COCHABAMBA;TARATA;CHAGUARANI;Sud este de Tarata;80950002;CHAGUARANI
COCHABAMBA;TARATA;HUASA RANCHO;PLAZA PRINCIPAL SUD LADO DEL TEMPLO;80950003;HUASA RANCHO
COCHABAMBA;TARATA;HUAYCULI;HUAYCULI CAMINO TARATA ANZALDO;80950004;HUAYCULI A
COCHABAMBA;TARATA;IZATA;Se encuentra a lado del nuevo edificio de la posta sanitaria de Izata.;80950006;IZATA
COCHABAMBA;TARATA;LINKURINA;LINKURINA SUD ESTE DE TARATA;80950008;LINKURINA
COCHABAMBA;TARATA;NOR OESTE LOKHOSGA;Lokhosqa.;80950009;LOKHOSGA
COCHABAMBA;TARATA;MENDEZ MAMATA;MENDEZ MAMATA;80950010;MENDEZ MAMATA
COCHABAMBA;TARATA;PAMPA MAMATA;PAMPA MAMATA;80950011;PAMPA MAMATA
COCHABAMBA;TARATA;OESTE DE TARATA;PATA CHURIGUA;80950012;PATA CHURIGUA
COCHABAMBA;TARATA;POTRERO;Sud este a 31 km. De Tarata;80950013;POTRERO
COCHABAMBA;TARATA;SUD ESTE PUJYUNI;PUJYUNI VILAQUE ENTRE HUAYCULI;80950014;PUJYUNI
COCHABAMBA;TARATA;SUD DE TARATA;TAILACA;80950015;TAILACA
COCHABAMBA;TARATA;RODEO;Tunazani;80950016;TUNAZANI
COCHABAMBA;TARATA;KELLU MAYU;CAMINO CARRETERO TARATA ANZALDO;80950017;KELLU MAYU
COCHABAMBA;TARATA;SUD MENDEZ MAMATA;AL SUD DE MENDEZ MAMATA;80950018;VILAQUE
COCHABAMBA;TARATA;SUD DE TARATA;VISCACHANI;80950020;VISCACHANI
COCHABAMBA;TARATA;JATUN COTANI;Sud este a 16 km de Tarata.;80950021;JATUN COTANI
COCHABAMBA;TARATA;LA MAICA;A 9 Km al sud oeste de Tarata.;80950022;LA MAICA
COCHABAMBA;TARATA;CENTRAL;CALLE MELCHOR URQUIDI ENTRE PLAZA AROMA Y AVENIDA  RENE BARRIENTOS;809,500,238,095,003;ESTEBAN ARZE,MELCHOR URQUIDI
COCHABAMBA;TARATA;CENTRAL;CALLE JACINTO ANAYA Nro 197;809,500,248,095,003;TARATA,RENE BARRIENTOS ORTUÑO
COCHABAMBA;TARATA;ESTACION;CALLE INNOMINADA /SIN NÚMERO;809,500,258,095,002,000,000,000;DR. JOSE QUINTIN MENDOZA,MY. VICTOR USTARIZ,MARIANO MELGAREJO
COCHABAMBA;TARATA;OESTE DE TARATA;COTANI;80950029;COTANI
COCHABAMBA;TARATA;TUNAS MAYU;CAMINO CARRETERO ANZALDO TARATA;80950030;TUNAS MAYU
COCHABAMBA;TARATA;VILLA CARREÑO;SUD ESTE DE LA COMUNIDAD VILLA CARREÑO PASANDO EL RIO;80950054;EDUARDO AVAROA
COCHABAMBA;TARATA;ESTACION;CALLE INNOMINADA S/N;80950055;RAYITO DE LUZ
COCHABAMBA;AYOPAYA (C. VILLA DE INDEPENDENCIA);ANGOSTURA;ANGOSTURA;80960002;ANGOSTURA
COCHABAMBA;AYOPAYA (C. VILLA DE INDEPENDENCIA);ARAMANI;;80960084;ARAMANI SUD
COCHABAMBA;AYOPAYA (C. VILLA DE INDEPENDENCIA);ASUNGANI;ASUNGANI;80960003;CHINTAYA
COCHABAMBA;AYOPAYA (C. VILLA DE INDEPENDENCIA);BUENA VISTA;BUENA VISTA;80960004;BUENA VISTA
COCHABAMBA;AYOPAYA (C. VILLA DE INDEPENDENCIA);SISI CAIMANI;SISI CAIMANI;80960005;SISI CAIMANI
COCHABAMBA;AYOPAYA (C. VILLA DE INDEPENDENCIA);CALATRANCA;CALATRANCA;80960006;CALATRANCA
COCHABAMBA;AYOPAYA (C. VILLA DE INDEPENDENCIA);CALAMOTON;CALAMONTON;80960008;CALAMONTON
COCHABAMBA;AYOPAYA (C. VILLA DE INDEPENDENCIA);CALCHANI;CALCHANI;80960009;MARIANO BAPTISTA
COCHABAMBA;AYOPAYA (C. VILLA DE INDEPENDENCIA);CANARI;CANARI ALTO;80960010;CANARI
COCHABAMBA;AYOPAYA (C. VILLA DE INDEPENDENCIA);CANTUMARCA;CANTUMARCA;80960011;CANTUMARCA
COCHABAMBA;AYOPAYA (C. VILLA DE INDEPENDENCIA);CHAKALLUTA;CHAKALLUTA;80960014;CHAKALLUTA
COCHABAMBA;AYOPAYA (C. VILLA DE INDEPENDENCIA);CHAMACOMA;CHAMACOMA;80960015;CHAMACOMA
COCHABAMBA;AYOPAYA (C. VILLA DE INDEPENDENCIA);CHARAHUAYTU;CHARAHUAYTU;80960017;CHARAHUAYTU
COCHABAMBA;AYOPAYA (C. VILLA DE INDEPENDENCIA);CHARAPAYA;CHARAPAYA;80960018;CHARAPAYA
COCHABAMBA;AYOPAYA (C. VILLA DE INDEPENDENCIA);CHIVIÑA;CHIVIÑA;80960021;CHIVIÑA
COCHABAMBA;AYOPAYA (C. VILLA DE INDEPENDENCIA);CHULLPAPAMPA;CHULLPAPAMPA;80960023;CHULLPAPAMPA
COCHABAMBA;AYOPAYA (C. VILLA DE INDEPENDENCIA);CHULLPANI;CHULLPANI;80960024;EUGENIO LAREDO
COCHABAMBA;AYOPAYA (C. VILLA DE INDEPENDENCIA);CHUÑAVI GRANDE;CHUÑAVI GRANDE COMUNIDAD RURAL;80960025;CHUÑAVI GRANDE
COCHABAMBA;AYOPAYA (C. VILLA DE INDEPENDENCIA);ASCASIVI;CMD. ASCASIVI ALTO;80960026;ASCASIVI
COCHABAMBA;AYOPAYA (C. VILLA DE INDEPENDENCIA);CONDEPAMPA;CONDEPAMPA;80960027;CONDEPAMPA A
