DEPARTAMEN;DISTRITO;ZONA;DIRECCION;CODIGO_UE;UNIDAD_EDU
COCHABAMBA;CHIMORE;ESTAÑO PALMITO;SECTOR ESTAÑO PALMITO;50870032;ESTAÑO PALMITO
COCHABAMBA;CHIMORE;NUEVE ESTRELLAS;NUEVE ESTRELLAS;50870031;14 DE ENERO
COCHABAMBA;CHIMORE;REMANZO;REMANZO;50870035;REMANZO
COCHABAMBA;CHIMORE;14 DE SEPTIEMBRE;14 DE SEPTIEMBRE;50870036;14 DE SEPTIEMBRE
COCHABAMBA;CHIMORE;EL CARMEN;EL CARMEN;50870037;EL CARMEN
COCHABAMBA;CHIMORE;TRES BOCAS;TRES BOCAS DE ICHILO;50870038;TRES BOCAS
COCHABAMBA;CHIMORE;PUERTO COCHABAMBA;PUERTO COCHABAMBA;50870040;PUERTO COCHABAMBA
COCHABAMBA;CHIMORE;SANTA ANITA;SANTA ANITA DEL RIO CHAPARE;50870041;SANTA ANITA
COCHABAMBA;CHIMORE;ESTAÑO COLORADO;ESTAÑO COLORADO;50870044;ESTAÑO COLORADO
COCHABAMBA;CHIMORE;SAN SALVADOR;CMD SAN SALVADOR;50870047;SAN SALVADOR
COCHABAMBA;CHIMORE;CAPERNAUM;RIO ICHILO- NUEVA CAPERNAUM;50870048;DONACIANO VILLARROEL
COCHABAMBA;CHIMORE;"SINDICATO PUERTO AURORA ""A""";EL PROGRESO;50870051;EL PROGRESO
COCHABAMBA;CHIMORE;"SINDICATO PUERTO AURORA ""A""";"SINDICATO PUERTO AURORA ""A""";50870052;PUERTO VICTORIA
COCHABAMBA;CHIMORE;EL PALMAR;LA COLORADA;50870053;ANTONIA VALENCIA ROSAS
COCHABAMBA;CHIMORE;SINDICATO PUERTO AURORA 'A';MONTE SINAI;50870055;MONTE SINAI
COCHABAMBA;CHIMORE;COMUNIDAD TRES ISLAS;SOLTERA A ORILLAS DEL RIO CHIMORE;50870056;23 DE MARZO
COCHABAMBA;CHIMORE;COMUNIDAD MONTE VERDE;COMUNIDAD MONTE VERDE A ORILLAS DEL RIO CHAPARE;50870057;27 DE OCTUBRE
COCHABAMBA;CHIMORE;COMUNIDAD CAPERNAUM;CAPERNAUM A ORILLAS DEL RIO ICHILO;50870058;YURACARE MOJEÑO YUKI
